[WATER_LEVEL_STATION_ID]
;;ID
;;--------------
4335-809
4335-808
4335-823

[REAL_NODE_HEAD]			
;;Name      Date        Time    Value     			
;;--------- ----------- ------- --------			
4335-809	2005/8/31	06:00	13.499
4335-809	2005/8/31	07:00	13.591
4335-809	2005/8/31	08:00	13.587
4335-809	2005/8/31	09:00	13.526
4335-809	2005/8/31	10:00	13.504
4335-809	2005/8/31	11:00	13.548
4335-809	2005/8/31	12:00	13.512
4335-809	2005/8/31	13:00	13.502
4335-809	2005/8/31	14:00	13.566
4335-809	2005/8/31	15:00	13.519
4335-809	2005/8/31	16:00	13.503
4335-809	2005/8/31	17:00	13.526
4335-809	2005/8/31	18:00	13.648
4335-809	2005/8/31	19:00	13.74
4335-809	2005/8/31	20:00	13.831
4335-809	2005/8/31	21:00	13.804
4335-809	2005/8/31	22:00	14.286
4335-809	2005/8/31	23:00	13.854
4335-809	2005/9/1	00:00	13.775
4335-809	2005/9/1	01:00	13.691
4335-809	2005/9/1	02:00	13.975
4335-809	2005/9/1	03:00	13.763
4335-809	2005/9/1	04:00	13.642
4335-809	2005/9/1	05:00	13.618
4335-809	2005/9/1	06:00	13.583
4335-809	2005/9/1	07:00	13.557
4335-809	2005/9/1	08:00	13.538
4335-809	2005/9/1	09:00	13.559
4335-809	2005/9/1	10:00	13.562
4335-809	2005/9/1	11:00	13.584
4335-809	2005/9/1	12:00	13.539
4335-809	2005/9/1	13:00	13.624
4335-809	2005/9/1	14:00	13.536
4335-809	2005/9/1	15:00	13.521
4335-808	2005/8/31	06:00	12.034
4335-808	2005/8/31	07:00	12.034
4335-808	2005/8/31	08:00	12.099
4335-808	2005/8/31	09:00	12.036
4335-808	2005/8/31	10:00	12.034
4335-808	2005/8/31	11:00	12.036
4335-808	2005/8/31	12:00	12.039
4335-808	2005/8/31	13:00	12.034
4335-808	2005/8/31	14:00	12.034
4335-808	2005/8/31	15:00	12.034
4335-808	2005/8/31	16:00	12.034
4335-808	2005/8/31	17:00	12.033
4335-808	2005/8/31	18:00	12.074
4335-808	2005/8/31	19:00	12.29
4335-808	2005/8/31	20:00	12.653
4335-808	2005/8/31	21:00	12.374
4335-808	2005/8/31	22:00	13.414
4335-808	2005/8/31	23:00	12.618
4335-808	2005/9/1	00:00	12.488
4335-808	2005/9/1	01:00	12.239
4335-808	2005/9/1	02:00	12.986
4335-808	2005/9/1	03:00	12.322
4335-808	2005/9/1	04:00	12.143
4335-808	2005/9/1	05:00	12.088
4335-808	2005/9/1	06:00	12.034
4335-808	2005/9/1	07:00	12.037
4335-808	2005/9/1	08:00	12.036
4335-808	2005/9/1	09:00	12.034
4335-808	2005/9/1	10:00	12.034
4335-808	2005/9/1	11:00	12.034
4335-808	2005/9/1	12:00	12.034
4335-808	2005/9/1	13:00	12.034
4335-808	2005/9/1	14:00	12.034
4335-808	2005/9/1	15:00	12.034
4335-823	2005/8/31	06:00	11.486
4335-823	2005/8/31	07:00	11.489
4335-823	2005/8/31	08:00	11.478
4335-823	2005/8/31	09:00	11.473
4335-823	2005/8/31	10:00	11.47
4335-823	2005/8/31	11:00	11.47
4335-823	2005/8/31	12:00	11.473
4335-823	2005/8/31	13:00	11.468
4335-823	2005/8/31	14:00	11.471
4335-823	2005/8/31	15:00	11.473
4335-823	2005/8/31	16:00	11.471
4335-823	2005/8/31	17:00	11.471
4335-823	2005/8/31	18:00	11.469
4335-823	2005/8/31	19:00	11.829
4335-823	2005/8/31	20:00	12.244
4335-823	2005/8/31	21:00	12.031
4335-823	2005/8/31	22:00	12.883
4335-823	2005/8/31	23:00	12.245
4335-823	2005/9/1	00:00	12.119
4335-823	2005/9/1	01:00	11.744
4335-823	2005/9/1	02:00	12.645
4335-823	2005/9/1	03:00	11.878
4335-823	2005/9/1	04:00	11.586
4335-823	2005/9/1	05:00	11.474
4335-823	2005/9/1	06:00	11.488
4335-823	2005/9/1	07:00	11.674
4335-823	2005/9/1	08:00	11.761
4335-823	2005/9/1	09:00	11.47
4335-823	2005/9/1	10:00	11.468
4335-823	2005/9/1	11:00	11.47
4335-823	2005/9/1	12:00	11.471
4335-823	2005/9/1	13:00	11.474
4335-823	2005/9/1	14:00	11.475
4335-823	2005/9/1	15:00	11.474
